,,,,,,,,,,,,,,,,,,,,,,,,,
,,2025,,,,,,,,,,,,2026,,,,,,,,,,,
Período,dezembro,janeiro,fevereiro,março,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro,janeiro,fevereiro,março,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro
,,,,,,,,,,,,,,,,,,,,,,,,,
Bijuterias,,,,,,,,"-54,5","-54,5",,,,,,,,,,,,,,,,
Blue Perfumes,,,,,"-33,86","-33,84","-33,84","-33,84","-33,84","-33,84",,,,,,,,,,,,,,,
Bumerang Brinquedos,,"-72,03","-71,99","-71,99","-71,99","-71,99",,,,,,,,,,,,,,,,,,,
Camila Braz,,,,,,,,,,,-144,-144,-144,-144,-144,,,,,,,,,,
Campos Materiais,,,,,,,,,,"-41,29","-41,29","-41,29","-41,29",,,,,,,,,,,,
Casa das Baterias,,,,,,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,,,,,,,,,,
Casar,,,,,,,,,,,"-76,7","-76,7","-76,7","-76,7","-76,7","-76,7",,,,,,,,,
Cdc Comércio,,,,,,,,,,"-114,8","-114,8",,,,,,,,,,,,,,
Celiane Claudia (Nutri),"-247,48",,,,,,,,,,,,,,,,,,,,,,,,
Centauro,,"-66,67","-66,66","-66,66",,,,,,"-80,01","-79,99","-79,99",,,,,,,,,,,,,
Chilli Beans,"-100,01","-99,99","-99,99","-99,99",,,,,,,,,,,,,,,,,,,,,
Clínica Tabut,,,,,,,,,,-200,-200,,,,,,,,,,,,,,
Clinicare Odonto,,,,,,,,-130,-130,,,,,,,,,,,,,,,,
Clinicare Odonto,,,,,,,,,-245,-245,-245,,,,,,,,,,,,,,
Compra Fácil,"-55,5","-55,5",,,,,,,,,,,,,,,,,,,,,,,
Conduta fotográfica,"-57,6","-57,6","-57,6","-57,6",,,,,,,,,,,,,,,,,,,,,
Conduta fotográfica,"-57,6","-57,6","-57,6","-57,6",,,,,,,,,,,,,,,,,,,,,
Confecções ,,,,,"-33,33","-33,32","-33,32",,,,,,,,,,,,,,,,,,
Cor e Pele,,"-46,7","-46,7","-46,7",,,,,,"-43,7","-43,7","-43,7","-43,7",,,,,,,,,,,,
Cor e Pele,,,,,,,,,,"-47,8","-47,8",,,,,,,,,,,,,,
Delírio Perfumaria,,,,,,,"-45,34",,"-45,33","-45,33","-45,33","-45,33","-45,33","-45,33","-45,33",,,,,,,,,,
Delírio Perfumaria,,,,,,,,,,,"-41,67","-41,67","-41,67","-41,67",,,,,,,,,,,
Divine,,,,,,,,,,"-92,88","-92,88","-92,88","-92,88","-92,88",,,,,,,,,,,
Divine,,,,,,,,,,"-120,71","-120,68","-120,68","-120,68","-120,68","-120,68","-120,68",,,,,,,,,
Docibra,,,,,,,,,,,"-60,15","-60,15",,,,,,,,,,,,,
Docthos,,,,,,,,,,"-246,7","-246,7","-246,7","-246,7","-246,7","-246,7","-246,7","-246,7","-246,7","-246,7",,,,,,
Docthos,,,,,,,,,,"-210,36","-210,32","-210,32","-210,32","-210,32","-210,32",,,,,,,,,,
Docthos,,,,,,,,,,"-116,34","-116,33","-116,33",,,,,,,,,,,,,
Drogaria Flor,-50,-50,"-61,78","-61,77","-61,77","-61,77","-61,77","-61,77",,,,,,,,,,,,,,,,,
Drogaria Flor,,"-98,44","-98,43","-28,15","-28,1","-28,1","-28,1","-28,1","-28,1",,,,,,,,,,,,,,,,
Drogaria Flor,"-139,16","-139,16","-139,16","-139,16","-139,16","-74,92","-74,91",,,,,,,,,,,,,,,,,,
Drogaria Flor,"-72,64","-72,63","-72,63","-107,52","-107,51",,,,,,,,,,,,,,,,,,,,
Drogaria Online,"-244,97",,,"-35,75","-35,73","-35,73","-35,73","-35,73","-35,73",,,,,,,,,,,,,,,,
Drogaria Sabrina,"-58,98","-58,96","-58,96","-69,62","-69,62",,,"-126,9","-126,89","-126,89","-26,71","-26,71",,,,,,,,,,,,,
Drogaria Sabrina,,,,"-37,02","-37,01","-37,01",,,,"-48,76","-48,73","-48,73","-48,73",,,,,,,,,,,,
